Time [s],Forward Velocity [m/s],Angular Velocity [rad/s],Subject #,Range [m],Bearing [rad],x [m],y [m],Orientation [rad]
1288971842.161,0.0,0.0,,,,,,
1288971842.162,,,,,,0.980386,-4.9923345,1.44859633
1288971842.218,,,2.0,2.137,-0.077,,,
1288971842.218,,,13.0,5.521,-0.274,,,
1288971842.281,0.0,0.0,,,,,,
1288971842.2819998,,,,,,0.9803314,-4.99237,1.44859633
1288971842.218,,,2.0,2.137,-0.077,,,
1288971842.218,,,13.0,5.521,-0.274,,,
1288971842.455,,,2.0,2.138,-0.077,,,
1288971842.455,,,7.0,2.674,-0.194,,,
1288971842.521,0.0,0.0,,,,,,
1288971842.5219998,,,,,,0.9803646,-4.9923563,1.44829633
1288971842.218,,,2.0,2.137,-0.077,,,
1288971842.218,,,13.0,5.521,-0.274,,,
1288971842.455,,,2.0,2.138,-0.077,,,
1288971842.455,,,7.0,2.674,-0.194,,,
1288971842.697,,,2.0,2.138,-0.077,,,
1288971842.697,,,13.0,5.521,-0.276,,,
1288971842.761,0.0,0.0,,,,,,
1288971842.7619998,,,,,,0.9803502,-4.99232,1.44829633
1288971842.218,,,2.0,2.137,-0.077,,,
1288971842.218,,,13.0,5.521,-0.274,,,
1288971842.455,,,2.0,2.138,-0.077,,,
1288971842.455,,,7.0,2.674,-0.194,,,
1288971842.697,,,2.0,2.138,-0.077,,,
1288971842.697,,,13.0,5.521,-0.276,,,
1288971842.937,,,7.0,2.674,-0.194,,,
1288971842.937,,,13.0,5.521,-0.274,,,
1288971842.937,,,12.0,5.632,-0.471,,,
1288971842.937,,,2.0,2.138,-0.077,,,
1288971843.004,0.0,0.0,,,,,,
1288971843.0049999,,,,,,0.9803698,-4.9923547,1.44839633
1288971842.218,,,2.0,2.137,-0.077,,,
1288971842.218,,,13.0,5.521,-0.274,,,
1288971842.455,,,2.0,2.138,-0.077,,,
1288971842.455,,,7.0,2.674,-0.194,,,
1288971842.697,,,2.0,2.138,-0.077,,,
1288971842.697,,,13.0,5.521,-0.276,,,
1288971842.937,,,7.0,2.674,-0.194,,,
1288971842.937,,,13.0,5.521,-0.274,,,
1288971842.937,,,12.0,5.632,-0.471,,,
1288971842.937,,,2.0,2.138,-0.077,,,
1288971843.175,,,2.0,2.138,-0.077,,,
1288971843.175,,,13.0,5.521,-0.274,,,
1288971843.246,0.0,0.0,,,,,,
1288971843.247,,,,,,0.9803642,-4.9923491,1.44849633
1288971842.218,,,2.0,2.137,-0.077,,,
1288971842.218,,,13.0,5.521,-0.274,,,
1288971842.455,,,2.0,2.138,-0.077,,,
1288971842.455,,,7.0,2.674,-0.194,,,
1288971842.697,,,2.0,2.138,-0.077,,,
1288971842.697,,,13.0,5.521,-0.276,,,
1288971842.937,,,7.0,2.674,-0.194,,,
1288971842.937,,,13.0,5.521,-0.274,,,
1288971842.937,,,12.0,5.632,-0.471,,,
1288971842.937,,,2.0,2.138,-0.077,,,
1288971843.175,,,2.0,2.138,-0.077,,,
1288971843.175,,,13.0,5.521,-0.274,,,
1288971843.414,,,2.0,2.138,-0.077,,,
1288971843.414,,,7.0,2.674,-0.194,,,
1288971843.485,0.0,0.0,,,,,,
1288971843.4859998,,,,,,0.980362,-4.9923283,1.44849633
1288971842.218,,,2.0,2.137,-0.077,,,
1288971842.218,,,13.0,5.521,-0.274,,,
1288971842.455,,,2.0,2.138,-0.077,,,
1288971842.455,,,7.0,2.674,-0.194,,,
1288971842.697,,,2.0,2.138,-0.077,,,
1288971842.697,,,13.0,5.521,-0.276,,,
