Time [s],Forward Velocity [m/s],Angular Velocity [rad/s],Subject #,Range [m],Bearing [rad],x [m],y [m],Orientation [rad]
1288971907.762,0.165,-1.003,,,,,,
1288971907.763,,,,,,1.0030588,-4.818707,1.44639633
1288971908.024,,,7.0,2.508,-0.125,,,
1288971908.125,0.165,-1.003,,,,,,
1288971908.126,,,,,,1.0084992,-4.7728178,1.27319633
1288971908.236,,,7.0,2.507,0.053,,,
1288971908.242,0.165,-1.003,,,,,,
1288971908.243,,,,,,1.0136594,-4.7589971,1.20469633
1288971908.236,,,7.0,2.507,0.053,,,
1288971908.448,,,7.0,2.45,0.164,,,
1288971908.483,0.165,-1.003,,,,,,
1288971908.484,,,,,,1.0290533,-4.7300259,1.05669633
1288971908.236,,,7.0,2.507,0.053,,,
1288971908.448,,,7.0,2.45,0.164,,,
1288971908.661,,,7.0,2.356,0.285,,,
1288971908.725,0.165,-1.003,,,,,,
1288971908.7259998,,,,,,1.0455809,-4.7003098,0.91239633
1288971908.236,,,7.0,2.507,0.053,,,
1288971908.448,,,7.0,2.45,0.164,,,
1288971908.661,,,7.0,2.356,0.285,,,
1288971926.386,0.165,0.902,,,,,,
1288971926.3869998,,,,,,3.2502214,-3.1971718,0.60659633
1288971926.421,,,11.0,1.504,-0.007,,,
1288971926.505,0.165,0.902,,,,,,
1288971926.506,,,,,,3.2657413,-3.1869615,0.64299633
1288971926.421,,,11.0,1.504,-0.007,,,
1288971926.634,,,11.0,1.465,-0.06,,,
1288971927.946,0.165,0.902,,,,,,
1288971927.947,,,,,,3.4116458,-3.0304263,0.78549633
1288971927.992,,,12.0,3.178,0.463,,,
1288971928.066,0.165,0.902,,,,,,
1288971928.067,,,,,,3.4243706,-3.0173445,0.82019633
1288971927.992,,,12.0,3.178,0.463,,,
1288971945.97,0.165,0.902,,,,,,
1288971945.971,,,,,,3.8024179,-0.3622326,1.45569633
1288971946.014,,,19.0,5.521,0.259,,,
1288971946.09,0.165,0.902,,,,,,
1288971946.0909998,,,,,,3.8061915,-0.3408157,1.48929633
1288971946.014,,,19.0,5.521,0.259,,,
1288971969.698,0.165,0.902,,,,,,
1288971969.699,,,,,,2.9948231,3.1303894,1.86739633
1288971946.014,,,19.0,5.521,0.259,,,
1288971969.998,,,19.0,1.843,-0.385,,,
1288971970.057,0.165,0.902,,,,,,
1288971970.0579998,,,,,,2.9785317,3.178845,2.04309633
1288971946.014,,,19.0,5.521,0.259,,,
1288971969.998,,,19.0,1.843,-0.385,,,
1288971972.702,0.165,0.902,,,,,,
1288971972.7029998,,,,,,2.6762331,3.4120325,2.58999633
1288971972.762,,,4.0,2.283,0.493,,,
